What would you like to drink?	您 想 喝 什么	nín xiǎng hē shén me	[sound:PM3-U06-027.mp3]	[sound:PM3-U06-028.mp3]	3	6	00m48s
I'd like to drink some wine	我想 喝 一点 葡萄酒	wǒ xiǎng hē yī diǎn pú tao jiǔ	[sound:PM3-U06-030.mp3]	[sound:PM3-U06-031_PM3-U06-032.mp3]	3	6	01m06s
we also have Chinese white liquor	我们 也有 白酒	wǒ men yě yǒu bái jiǔ	[sound:PM3-U06-034.mp3]	[sound:PM3-U06-035.mp3]	3	6	01m18s
I'd like to order some white liquor	我想 要 一点儿 白酒	wǒ xiǎng yào yī diǎn r5 bái jiǔ	[sound:PM3-U06-038.mp3]	[sound:PM3-U06-039.mp3]	3	6	01m37s
And you what would you like to drink?	您 呢 您 想 喝 什么	nín ne nín xiǎng hē shén me	[sound:PM3-U06-042_PM3-U06-043.mp3]	[sound:PM3-U06-044_PM3-U06-045.mp3]	3	6	01m51s
Do you like green tea?	您 喜欢 绿茶 吗	nín xǐ huan lǜ chá ma	[sound:PM3-U06-047.mp3]	[sound:PM3-U06-048.mp3]	3	6	02m03s
yes I'd like to drink green tea	喜欢 我想 喝 绿茶	xǐ huan wǒ xiǎng hē lǜ chá	[sound:PM3-U06-051.mp3]	[sound:PM3-U06-052_PM3-U06-053.mp3]	3	6	02m21s
I've had their green tea, meaning I've drunk their green tea	我 和 过 他们的 绿茶	wǒ hé guò tā men de lǜ chá	[sound:PM3-U06-056_PM3-U06-057.mp3]	[sound:PM3-U06-058.mp3]	3	6	02m38s
it's very delicious	他们的 绿茶 很好 喝	tā men de lǜ chá hěn hǎo hē	[sound:PM3-U06-062.mp3]	[sound:PM3-U06-064_PM3-U06-065.mp3]	3	6	03m07s
last week	上个 新 七	shàng ge xīn qī	[sound:PM3-U06-066.mp3]	[sound:PM3-U06-068.mp3]	3	6	03m17s
last week my friend came over from America	上个 星期 我的 朋友 从 美国 来了	shàng ge xīng qī wǒ de péng you cóng měi guó lái le	[sound:PM3-U06-071.mp3]	[sound:PM3-U06-072.mp3]	3	6	03m34s
she's from Boston	他 是 波士顿 女人	tā shì bō shì dùn nǚ ren	[sound:PM3-U06-075.mp3]	[sound:PM3-U06-076.mp3]	3	6	03m54s
Can your friend speak Mandarin?	您的 朋友 会 说 普通话 吗	nín de péng you huì shuō pǔ tōng huà ma	[sound:PM3-U06-079.mp3]	[sound:PM3-U06-080_PM3-U06-081.mp3]	3	6	04m12s
yes, she speaks well	他说 得 很好	tā shuō de hěn hǎo	[sound:PM3-U06-083_PM3-U06-084.mp3]	[sound:PM3-U06-086.mp3]	3	6	04m25s
go to college	上大学	shàng dà xué	[sound:PM3-U06-087.mp3]	[sound:PM3-U06-090.mp3]	3	6	04m39s
my friend went to college in Boston	我的 朋友 是 在 波士顿 上大学 的	wǒ de péng you shì zài bō shì dùn shàng dà xué de	[sound:PM3-U06-092.mp3]	[sound:PM3-U06-093.mp3]	3	6	04m52s
a Mandarin language school	一所 普通话 学校	yī suǒ pǔ tōng huà xué xiào	[sound:PM3-U06-098.mp3]	[sound:PM3-U06-100.mp3]	3	6	05m27s
she can speak English and Mandarin	他 会 说 英文 和 普通话	tā huì shuō yīng wén hé pǔ tōng huà	[sound:PM3-U06-102.mp3]	[sound:PM3-U06-103.mp3]	3	6	05m44s
Which one is easier?	那是 一个 容易	nà shi yī gè róng yì	[sound:PM3-U06-104.mp3]	[sound:PM3-U06-106.mp3]	3	6	05m56s
of course English is easier than Mandarin	当然 英文 比 普通话 容易	dāng rán yīng wén bǐ pǔ tōng huà róng yì	[sound:PM3-U06-120.mp3]	[sound:PM3-U06-121_PM3-U06-122.mp3]	3	6	06m53s
Did you come over to this restaurant with your friend?	您 跟 您的 朋友 一 起来 这家 饭店 了 吗	nín gēn nín de péng you yī qi lai zhè jiā fàn diàn le ma	[sound:PM3-U06-126.mp3]	[sound:PM3-U06-127_PM3-U06-128.mp3]	3	6	07m16s
Peking duck	北京烤鸭	běi jīng kǎo yā	[sound:PM3-U06-136.mp3]	[sound:PM3-U06-138.mp3]	3	6	07m50s
my friend ate Peking duck	我的 朋友 吃 北京烤鸭 了	wǒ de péng you chī běi jīng kǎo yā le	[sound:PM3-U06-159.mp3]	[sound:PM3-U06-160_PM3-U06-161.mp3]	3	6	09m06s
What does your friend do for work?	您的 朋友 做什么 工作	nín de péng you zuò shén me gōng zuò	[sound:PM3-U06-162.mp3]	[sound:PM3-U06-164_PM3-U06-165.mp3]	3	6	09m21s
she is an engineer	他 是一个 工程师	tā shì yī gè gōng chéng shī	[sound:PM3-U06-168.mp3]	[sound:PM3-U06-169.mp3]	3	6	09m38s
What does your wife do for work?	您的 太太 做什么 工作	nín de tài tai zuò shén me gōng zuò	[sound:PM3-U06-171_PM3-U06-172.mp3]	[sound:PM3-U06-174.mp3]	3	6	09m55s
she works in a bank	他在 一家 银行 工作	tā zài yī jiā yín háng gōng zuò	[sound:PM3-U06-176.mp3]	[sound:PM3-U06-177.mp3]	3	6	10m08s
Would you like to drink tea or coffee?	您 想 喝茶 还是 咖啡	nín xiǎng hē chá hái shi kā fēi	[sound:PM3-U06-181.mp3]	[sound:PM3-U06-182.mp3]	3	6	10m28s
Chinese white liquor	白酒	bái jiǔ	[sound:PM3-U06-183.mp3]	[sound:PM3-U06-185.mp3]	3	6	10m37s
I'd like to drink tea	我想 喝茶	wǒ xiǎng hē chá	[sound:PM3-U06-188.mp3]	[sound:PM3-U06-189_PM3-U06-190.mp3]	3	6	10m53s
I'm looking for my book	我 再 找 我的 书	wǒ zài zhǎo wǒ de shū	[sound:PM3-U06-195.mp3]	[sound:PM3-U06-196.mp3]	3	6	11m10s
on the table there's a book	桌子 上 有一 本书	zhuō zi shàng yǒu yī běn shū	[sound:PM3-U06-202.mp3]	[sound:PM3-U06-203_PM3-U06-204.mp3]	3	6	11m39s
it's next to the telephone	在 电话 的 旁边	zài diàn huà de páng biān	[sound:PM3-U06-211.mp3]	[sound:PM3-U06-212.mp3]	3	6	12m07s
but that's not my book	可是 呢 不是 我的 书	kě shì ne bù shi wǒ de shū	[sound:PM3-U06-213.mp3]	[sound:PM3-U06-215.mp3]	3	6	12m20s
under the table	桌子下	zhuō zi xià	[sound:PM3-U06-217.mp3]	[sound:PM3-U06-219.mp3]	3	6	12m33s
under the table there's something	桌子下 由 什么 东西	zhuō zi xià yóu shén me dōng xi	[sound:PM3-U06-224.mp3]	[sound:PM3-U06-227_PM3-U06-228.mp3]	3	6	13m07s
Ah, my book is over there!	按照 我的 书 在 那儿	àn zhào wǒ de shū zài nà r5	[sound:PM3-U06-230.mp3]	[sound:PM3-U06-231.mp3]	3	6	13m18s
over there there's a notebook	纳尔 有 一本 笔记本	nà ěr yǒu yī běn bǐ jì běn	[sound:PM3-U06-232.mp3]	[sound:PM3-U06-237.mp3]	3	6	13m41s
Is that also yours?	那 也是 您的 吗	nà yě shì nín de ma	[sound:PM3-U06-239.mp3]	[sound:PM3-U06-242.mp3]	3	6	13m55s
That's right, thank you!	是的 谢谢您	shì de xiè xie nín	[sound:PM3-U06-244.mp3]	[sound:PM3-U06-245_PM3-U06-246.mp3]	3	6	14m11s
Where is today's newspaper?	今天 的 报 在 那儿	jīn tiān de bào zài nà r5	[sound:PM3-U06-247.mp3]	[sound:PM3-U06-249_PM3-U06-250.mp3]	3	6	14m20s
under the newspaper there's something	报 下 由 什么 东西	bào xià yóu shén me dōng xi	[sound:PM3-U06-271.mp3]	[sound:PM3-U06-273.mp3]	3	6	15m31s
under the newspaper there's a notebook	抱 下 有 一本 笔记本	bào xià yǒu yī běn bǐ jì běn	[sound:PM3-U06-275.mp3]	[sound:PM3-U06-276.mp3]	3	6	15m47s
no my notebook is over there	不是 我的 笔记本 在 那儿	bù shi wǒ de bǐ jì běn zài nà r5	[sound:PM3-U06-283.mp3]	[sound:PM3-U06-284_PM3-U06-285_PM3-U06-286.mp3]	3	6	16m24s
Which book?	那儿 一本 书	nà r5 yī běn shū	[sound:PM3-U06-294.mp3]	[sound:PM3-U06-295.mp3]	3	6	16m55s
an English book	一本 英文 书	yī běn yīng wén shū	[sound:PM3-U06-300.mp3]	[sound:PM3-U06-301.mp3]	3	6	17m15s
it's my book	是 我的 书	shì wǒ de shū	[sound:PM3-U06-311.mp3]	[sound:PM3-U06-312.mp3]	3	6	17m54s
I'm learning English at an English language school	我 在 一所 英文 学校 学 英文	wǒ zài yī suǒ yīng wén xué xiào xué yīng wén	[sound:PM3-U06-321_PM3-U06-322.mp3]	[sound:PM3-U06-323.mp3]	3	6	18m33s
it's next to the telephone	在 电话 的 旁边	zài diàn huà de páng biān	[sound:PM3-U06-342.mp3]	[sound:PM3-U06-343.mp3]	3	6	19m51s
Did you reserve a hotel?	宁静 酒店 了 吗	níng jìng jiǔ diàn le ma	[sound:PM3-U06-349.mp3]	[sound:PM3-U06-351.mp3]	3	6	20m13s
Did you make a hotel reservation?	您 订 酒店 了 吗	nín dìng jiǔ diàn le ma	[sound:PM3-U06-358.mp3]	[sound:PM3-U06-359.mp3]	3	6	20m35s
Did you make a hotel reservation last week?	您 上个星期 订 酒店 了 吗	nín shàng ge xīng qī dìng jiǔ diàn le ma	[sound:PM3-U06-366.mp3]	[sound:PM3-U06-367.mp3]	3	6	21m08s
not yet (or literally: yet have not reserved)	还没有 订	hái méi yǒu dìng	[sound:PM3-U06-370_PM3-U06-371_PM3-U06-372.mp3]	[sound:PM3-U06-373.mp3]	3	6	21m26s
travel	旅行	lǚ xíng	[sound:PM3-U06-375.mp3]	[sound:PM3-U06-377.mp3]	3	6	21m39s
I'm going to travel	我要 旅行	wǒ yào lǚ xíng	[sound:PM3-U06-380.mp3]	[sound:PM3-U06-381.mp3]	3	6	21m54s
next month I'm going to travel	下个月 我要 旅行	xià gè yuè wǒ yào lǚ xíng	[sound:PM3-U06-390.mp3]	[sound:PM3-U06-391.mp3]	3	6	22m34s
I have to excuse myself	我 得 失 陪 了	wǒ de shī péi le	[sound:PM3-U06-408.mp3]	[sound:PM3-U06-410.mp3]	3	6	23m38s
I have to make a hotel reservation	我的 订 酒店	wǒ de dìng jiǔ diàn	[sound:PM3-U06-413.mp3]	[sound:PM3-U06-414.mp3]	3	6	23m54s
I haven't yet made a hotel reservation	我 还没有 订 酒店	wǒ hái méi yǒu dìng jiǔ diàn	[sound:PM3-U06-420.mp3]	[sound:PM3-U06-421.mp3]	3	6	24m20s
I'm going to make a reservation now	我要 现在 定	wǒ yào xiàn zài dìng	[sound:PM3-U06-422.mp3]	[sound:PM3-U06-423.mp3]	3	6	24m31s
right now	马上 就	mǎ shàng jiù	[sound:PM3-U06-425.mp3]	[sound:PM3-U06-427.mp3]	3	6	24m44s
Where is the telephone book?	电话簿 在 哪儿	diàn huà bù zài nǎ r5	[sound:PM3-U06-428.mp3]	[sound:PM3-U06-429.mp3]	3	6	24m55s
it's not on the table	不再 桌子 上	bù zài zhuō zi shàng	[sound:PM3-U06-436.mp3]	[sound:PM3-U06-437.mp3]	3	6	25m23s
it's under the newspaper	在 报 下	zài bào xià	[sound:PM3-U06-438.mp3]	[sound:PM3-U06-439.mp3]	3	6	25m30s
Where is today's newspaper?	今天 的 报 在 哪儿	jīn tiān de bào zài nǎ r5	[sound:PM3-U06-442.mp3]	[sound:PM3-U06-445.mp3]	3	6	25m54s
it's next to the book	在 书 的 旁边	zài shū de páng biān	[sound:PM3-U06-446.mp3]	[sound:PM3-U06-447.mp3]	3	6	26m04s
an English book (meaning a book in English)	一本 英文 书	yī běn yīng wén shū	[sound:PM3-U06-454_PM3-U06-455.mp3]	[sound:PM3-U06-456.mp3]	3	6	26m35s
next month I'm going to take a business trip	下个月 我要 出差	xià gè yuè wǒ yào chū chāi	[sound:PM3-U06-459_PM3-U06-460.mp3]	[sound:PM3-U06-461.mp3]	3	6	26m52s
Is there a good hotel in Nanjing?	南京 有 好的 酒店 吗	nán jīng yǒu hǎo de jiǔ diàn ma	[sound:PM3-U06-492.mp3]	[sound:PM3-U06-496.mp3]	3	6	29m09s
there are many good hotels in Nanjing	南京 有很多 好的 酒店	nán jīng yǒu hěn duō hǎo de jiǔ diàn	[sound:PM3-U06-502.mp3]	[sound:PM3-U06-503.mp3]	3	6	29m45s
